Year,0,1,2
1986,"Seasonal Events: All-Star Game | Draft | Home Run Derby | World Series Navigation: Year in Review Menu | Previous Season | Next Season Miscellaneous: N.L. Leaderboard | Retirements | Rookies List Average Salary: $412,520.00 Minimum Salary: $60,000.00","Seasonal Events: All-Star Game | Draft | Home Run Derby | World Series Navigation: Year in Review Menu | Previous Season | Next Season Miscellaneous: N.L. Leaderboard | Retirements | Rookies List Average Salary: $412,520.00 Minimum Salary: $60,000.00","Seasonal Events: All-Star Game | Draft | Home Run Derby | World Series Navigation: Year in Review Menu | Previous Season | Next Season Miscellaneous: N.L. Leaderboard | Retirements | Rookies List Average Salary: $412,520.00 Minimum Salary: $60,000.00"
1987,Complete Games,Boston,47
1987,ERA,Toronto,3.74
1987,Fewest Hits Allowed,Toronto,1323
1987,Fewest Home Runs Allowed,Kansas City,128
1987,Fewest Walks Allowed,Seattle,497
1987,Saves,New York,47
1987,Shutouts,Boston,13
1987,Strikeouts,Texas,1103
1987,"Seasonal Events: All-Star Game | Draft | Home Run Derby | World Series Navigation: Year in Review Menu | Previous Season | Next Season Miscellaneous: N.L. Leaderboard | Retirements | Rookies List Average Salary: $412,454.00 Minimum Salary: $62,500.00","Seasonal Events: All-Star Game | Draft | Home Run Derby | World Series Navigation: Year in Review Menu | Previous Season | Next Season Miscellaneous: N.L. Leaderboard | Retirements | Rookies List Average Salary: $412,454.00 Minimum Salary: $62,500.00","Seasonal Events: All-Star Game | Draft | Home Run Derby | World Series Navigation: Year in Review Menu | Previous Season | Next Season Miscellaneous: N.L. Leaderboard | Retirements | Rookies List Average Salary: $412,454.00 Minimum Salary: $62,500.00"
1988,Complete Games,Texas,41
1988,ERA,Oakland,3.44
1988,Fewest Hits Allowed,Texas,1310
1988,Fewest Home Runs Allowed,Kansas City,102
1988,Fewest Walks Allowed,Milwaukee,437
1988,Saves,Oakland,64
1988,Shutouts,Toronto,17
1988,Strikeouts,Boston,1085
1988,"Seasonal Events: All-Star Game | Draft | Home Run Derby | World Series Navigation: Year in Review Menu | Previous Season | Next Season Miscellaneous: N.L. Leaderboard | Retirements | Rookies List Average Salary: $438,729.00 Minimum Salary: $62,500.00","Seasonal Events: All-Star Game | Draft | Home Run Derby | World Series Navigation: Year in Review Menu | Previous Season | Next Season Miscellaneous: N.L. Leaderboard | Retirements | Rookies List Average Salary: $438,729.00 Minimum Salary: $62,500.00","Seasonal Events: All-Star Game | Draft | Home Run Derby | World Series Navigation: Year in Review Menu | Previous Season | Next Season Miscellaneous: N.L. Leaderboard | Retirements | Rookies List Average Salary: $438,729.00 Minimum Salary: $62,500.00"
1989,Complete Games,California,32
1989,ERA,Oakland,3.09
1989,Fewest Hits Allowed,Texas,1279
1989,Fewest Home Runs Allowed,Kansas City,86
1989,Fewest Walks Allowed,Cleveland,452
1989,Saves,Oakland,57
1989,Shutouts,California,20
1989,Shutouts,Oakland,20
1989,Strikeouts,Texas,1112
1989,"Seasonal Events: All-Star Game | Draft | Home Run Derby | World Series Navigation: Year in Review Menu | Previous Season | Next Season Miscellaneous: N.L. Leaderboard | Retirements | Rookies List Average Salary: $512,084.00 Minimum Salary: $68,000.00","Seasonal Events: All-Star Game | Draft | Home Run Derby | World Series Navigation: Year in Review Menu | Previous Season | Next Season Miscellaneous: N.L. Leaderboard | Retirements | Rookies List Average Salary: $512,084.00 Minimum Salary: $68,000.00","Seasonal Events: All-Star Game | Draft | Home Run Derby | World Series Navigation: Year in Review Menu | Previous Season | Next Season Miscellaneous: N.L. Leaderboard | Retirements | Rookies List Average Salary: $512,084.00 Minimum Salary: $68,000.00"
1990,Complete Games,Texas,25
1990,ERA,Oakland,3.18
1990,Fewest Hits Allowed,Oakland,1287
1990,Fewest Home Runs Allowed,Boston,92
1990,Fewest Walks Allowed,Toronto,445
1990,Saves,Chicago,68
1990,Shutouts,Oakland,16
1990,Strikeouts,Seattle,1064
1990,"Seasonal Events: All-Star Game | Draft | Home Run Derby | World Series Navigation: Year in Review Menu | Previous Season | Next Season Miscellaneous: N.L. Leaderboard | Retirements | Rookies List Average Salary: $578,930.00 Minimum Salary: $100,000.00","Seasonal Events: All-Star Game | Draft | Home Run Derby | World Series Navigation: Year in Review Menu | Previous Season | Next Season Miscellaneous: N.L. Leaderboard | Retirements | Rookies List Average Salary: $578,930.00 Minimum Salary: $100,000.00","Seasonal Events: All-Star Game | Draft | Home Run Derby | World Series Navigation: Year in Review Menu | Previous Season | Next Season Miscellaneous: N.L. Leaderboard | Retirements | Rookies List Average Salary: $578,930.00 Minimum Salary: $100,000.00"
1991,Complete Games,Chicago,28
1991,ERA,Toronto,3.50
1991,Fewest Hits Allowed,Toronto,1301
1991,Fewest Home Runs Allowed,Kansas City,105
1991,Fewest Walks Allowed,Cleveland,441
1991,Saves,Toronto,60
1991,Shutouts,Toronto,16
1991,Strikeouts,Texas,1022
1991,Statistic,Team,#
1992,Complete Games,California,26
1992,ERA,Milwaukee,3.43
1992,Fewest Hits Allowed,Milwaukee,1344
1992,Fewest Home Runs Allowed,Kansas City,106
1992,Fewest Walks Allowed,Milwaukee,435
1992,Saves,Oakland,58
1992,Shutouts,Baltimore,16
1992,Strikeouts,Texas,1034
1992,"Seasonal Events: All-Star Game | Draft | Home Run Derby | World Series Navigation: Year in Review Menu | Previous Season | Next Season Miscellaneous: N.L. Leaderboard | Retirements | Rookies List Average Salary: $1,084,408.00 Minimum Salary: $109,000.00","Seasonal Events: All-Star Game | Draft | Home Run Derby | World Series Navigation: Year in Review Menu | Previous Season | Next Season Miscellaneous: N.L. Leaderboard | Retirements | Rookies List Average Salary: $1,084,408.00 Minimum Salary: $109,000.00","Seasonal Events: All-Star Game | Draft | Home Run Derby | World Series Navigation: Year in Review Menu | Previous Season | Next Season Miscellaneous: N.L. Leaderboard | Retirements | Rookies List Average Salary: $1,084,408.00 Minimum Salary: $109,000.00"
1993,Complete Games,California,26
1993,Complete Games,Milwaukee,26
1993,ERA,Chicago,3.70
1993,Fewest Hits Allowed,Boston,1379
1993,Fewest Hits Allowed,Kansas City,1379
1993,Fewest Home Runs Allowed,Kansas City,105
1993,Fewest Walks Allowed,Minnesota,514
1993,Saves,Toronto,50
1993,Shutouts,New York,13
1993,Strikeouts,Seattle,1083
1993,"Seasonal Events: All-Star Game | Draft | Home Run Derby | World Series Navigation: Year in Review Menu | Previous Season | Next Season Miscellaneous: N.L. Leaderboard | Retirements | Rookies List Average Salary: $1,120,254.00 Minimum Salary: $109,000.00","Seasonal Events: All-Star Game | Draft | Home Run Derby | World Series Navigation: Year in Review Menu | Previous Season | Next Season Miscellaneous: N.L. Leaderboard | Retirements | Rookies List Average Salary: $1,120,254.00 Minimum Salary: $109,000.00","Seasonal Events: All-Star Game | Draft | Home Run Derby | World Series Navigation: Year in Review Menu | Previous Season | Next Season Miscellaneous: N.L. Leaderboard | Retirements | Rookies List Average Salary: $1,120,254.00 Minimum Salary: $109,000.00"
1994,Complete Games,Cleveland,17
1994,ERA,Chicago,3.96
1994,Fewest Hits Allowed,Chicago,964
1994,Fewest Home Runs Allowed,Cleveland,94
1994,Fewest Walks Allowed,Baltimore,351
1994,Saves,Kansas City,38
1994,Shutouts,Chicago,9
1994,Shutouts,Oakland,9
1994,Strikeouts,Toronto,832
1994,"Seasonal Events: All-Star Game | Draft | Home Run Derby | World Series Navigation: Year in Review Menu | Previous Season | Next Season Miscellaneous: N.L. Leaderboard | Retirements | Rookies List Average Salary: $1,188,679.00 Minimum Salary: $109,000.00","Seasonal Events: All-Star Game | Draft | Home Run Derby | World Series Navigation: Year in Review Menu | Previous Season | Next Season Miscellaneous: N.L. Leaderboard | Retirements | Rookies List Average Salary: $1,188,679.00 Minimum Salary: $109,000.00","Seasonal Events: All-Star Game | Draft | Home Run Derby | World Series Navigation: Year in Review Menu | Previous Season | Next Season Miscellaneous: N.L. Leaderboard | Retirements | Rookies List Average Salary: $1,188,679.00 Minimum Salary: $109,000.00"
1995,Complete Games,Baltimore,19
1995,ERA,Cleveland,3.83
1995,Fewest Hits Allowed,Baltimore,1165
1995,Fewest Home Runs Allowed,Boston,127
1995,Fewest Walks Allowed,Cleveland,445
1995,Saves,Cleveland,50
1995,Shutouts,Baltimore,10
1995,Shutouts,Cleveland,10
1995,Shutouts,Kansas City,10
1995,Strikeouts,Seattle,1068
1995,"Seasonal Events: All-Star Game | Draft | Home Run Derby | World Series Navigation: Year in Review Menu | Previous Season | Next Season Miscellaneous: N.L. Leaderboard | Retirements | Rookies List Average Salary: $1,071,029.00 Minimum Salary: $109,000.00","Seasonal Events: All-Star Game | Draft | Home Run Derby | World Series Navigation: Year in Review Menu | Previous Season | Next Season Miscellaneous: N.L. Leaderboard | Retirements | Rookies List Average Salary: $1,071,029.00 Minimum Salary: $109,000.00","Seasonal Events: All-Star Game | Draft | Home Run Derby | World Series Navigation: Year in Review Menu | Previous Season | Next Season Miscellaneous: N.L. Leaderboard | Retirements | Rookies List Average Salary: $1,071,029.00 Minimum Salary: $109,000.00"
1996,Complete Games,Texas,19
1996,Complete Games,Toronto,19
1996,ERA,Cleveland,4.34
1996,Fewest Hits Allowed,New York,1469
1996,Fewest Home Runs Allowed,New York,143
1996,Fewest Walks Allowed,Kansas City,460
1996,Saves,New York,52
1996,Shutouts,Cleveland,9
1996,Shutouts,New York,9
1996,Strikeouts,Boston,1165
1996,"Seasonal Events: All-Star Game | Draft | Home Run Derby | World Series Navigation: Year in Review Menu | Previous Season | Next Season Miscellaneous: N.L. Leaderboard | Retirements | Rookies List Average Salary: $1,176,967.00 Minimum Salary: $109,000.00","Seasonal Events: All-Star Game | Draft | Home Run Derby | World Series Navigation: Year in Review Menu | Previous Season | Next Season Miscellaneous: N.L. Leaderboard | Retirements | Rookies List Average Salary: $1,176,967.00 Minimum Salary: $109,000.00","Seasonal Events: All-Star Game | Draft | Home Run Derby | World Series Navigation: Year in Review Menu | Previous Season | Next Season Miscellaneous: N.L. Leaderboard | Retirements | Rookies List Average Salary: $1,176,967.00 Minimum Salary: $109,000.00"
1997,Complete Games,Toronto,19
1997,ERA,New York,3.84
1997,Fewest Hits Allowed,Baltimore,1404
1997,Fewest Home Runs Allowed,New York,144
1997,Fewest Walks Allowed,Minnesota,495
1997,Saves,Baltimore,59
1997,Shutouts,Toronto,16
1997,Strikeouts,Seattle,1207
1997,"Seasonal Events: All-Star Game | Draft | Home Run Derby | World Series Navigation: Year in Review Menu | Previous Season | Next Season Miscellaneous: N.L. Leaderboard | Retirements | Rookies List Average Salary: $1,383,578.00 Minimum Salary: $150,000.00","Seasonal Events: All-Star Game | Draft | Home Run Derby | World Series Navigation: Year in Review Menu | Previous Season | Next Season Miscellaneous: N.L. Leaderboard | Retirements | Rookies List Average Salary: $1,383,578.00 Minimum Salary: $150,000.00","Seasonal Events: All-Star Game | Draft | Home Run Derby | World Series Navigation: Year in Review Menu | Previous Season | Next Season Miscellaneous: N.L. Leaderboard | Retirements | Rookies List Average Salary: $1,383,578.00 Minimum Salary: $150,000.00"
1998,Complete Games,New York,22
1998,ERA,New York,3.82
1998,Fewest Hits Allowed,New York,1357
1998,Fewest Home Runs Allowed,New York,156
1998,Fewest Walks Allowed,Minnesota,458
1998,Saves,Boston,53
1998,Shutouts,New York,16
1998,Strikeouts,Seattle,1156
1998,"Seasonal Events: All-Star Game | Draft | Home Run Derby | World Series Navigation: Year in Review Menu | Previous Season | Next Season Miscellaneous: N.L. Leaderboard | Retirements | Rookies List Average Salary: $1,441,406.00 Minimum Salary: $170,000.00","Seasonal Events: All-Star Game | Draft | Home Run Derby | World Series Navigation: Year in Review Menu | Previous Season | Next Season Miscellaneous: N.L. Leaderboard | Retirements | Rookies List Average Salary: $1,441,406.00 Minimum Salary: $170,000.00","Seasonal Events: All-Star Game | Draft | Home Run Derby | World Series Navigation: Year in Review Menu | Previous Season | Next Season Miscellaneous: N.L. Leaderboard | Retirements | Rookies List Average Salary: $1,441,406.00 Minimum Salary: $170,000.00"
1999,Complete Games,Baltimore,17
1999,ERA,Boston,4.00
1999,Fewest Hits Allowed,Boston,1396
1999,Fewest Home Runs Allowed,New York,158
1999,Fewest Walks Allowed,Boston,469
1999,Saves,Boston,50
1999,Saves,New York,50
1999,Shutouts,Baltimore,4
1999,Shutouts,New York,4
1999,Strikeouts,Boston,1131
1999,"Seasonal Events: All-Star Game | Draft | Home Run Derby | World Series Navigation: Year in Review Menu | Previous Season | Next Season Miscellaneous: N.L. Leaderboard | Retirements | Rookies List Average Salary: $1,720,050.00 Minimum Salary: $200,000.00","Seasonal Events: All-Star Game | Draft | Home Run Derby | World Series Navigation: Year in Review Menu | Previous Season | Next Season Miscellaneous: N.L. Leaderboard | Retirements | Rookies List Average Salary: $1,720,050.00 Minimum Salary: $200,000.00","Seasonal Events: All-Star Game | Draft | Home Run Derby | World Series Navigation: Year in Review Menu | Previous Season | Next Season Miscellaneous: N.L. Leaderboard | Retirements | Rookies List Average Salary: $1,720,050.00 Minimum Salary: $200,000.00"
2000,Complete Games,Toronto,15
2000,ERA,Boston,4.24
2000,Fewest Hits Allowed,Boston,1433
2000,Fewest Home Runs Allowed,Oakland,158
2000,Fewest Walks Allowed,Detroit,496
2000,Saves,Anaheim,46
2000,Saves,Boston,46
2000,Shutouts,Boston,12
2000,Strikeouts,Cleveland,1213
2000,"Seasonal Events: All-Star Game | All-Star Game | All-Star Game | World Series Navigation: Year in Review Menu | Previous Season | Next Season Miscellaneous: N.L. Leaderboard Retirements | Rookies List Average Salary: $1,998,034.00 Minimum Salary: $200,000.00","Seasonal Events: All-Star Game | All-Star Game | All-Star Game | World Series Navigation: Year in Review Menu | Previous Season | Next Season Miscellaneous: N.L. Leaderboard Retirements | Rookies List Average Salary: $1,998,034.00 Minimum Salary: $200,000.00","Seasonal Events: All-Star Game | All-Star Game | All-Star Game | World Series Navigation: Year in Review Menu | Previous Season | Next Season Miscellaneous: N.L. Leaderboard Retirements | Rookies List Average Salary: $1,998,034.00 Minimum Salary: $200,000.00"
2001,Complete Games,Detroit,16
2001,ERA,Seattle,3.54
2001,Fewest Hits Allowed,Seattle,1293
2001,Fewest Home Runs Allowed,Boston,146
2001,Fewest Walks Allowed,Oakland,440
2001,Saves,New York,57
2001,Shutouts,Seattle,14
2001,Strikeouts,New York,1266
2001,"Seasonal Events: All-Star Game | All-Star Game | All-Star Game | World Series Navigation: Year in Review Menu | Previous Season | Next Season Miscellaneous: N.L. Leaderboard Retirements | Rookies List Average Salary: $2,654,403.00 Minimum Salary: $200,000.00","Seasonal Events: All-Star Game | All-Star Game | All-Star Game | World Series Navigation: Year in Review Menu | Previous Season | Next Season Miscellaneous: N.L. Leaderboard Retirements | Rookies List Average Salary: $2,654,403.00 Minimum Salary: $200,000.00","Seasonal Events: All-Star Game | All-Star Game | All-Star Game | World Series Navigation: Year in Review Menu | Previous Season | Next Season Miscellaneous: N.L. Leaderboard Retirements | Rookies List Average Salary: $2,654,403.00 Minimum Salary: $200,000.00"
2002,Anaheim,99,63,3.69,7,14,54,70,1452.1,1345,644,595,169,49,509,999
2002,Baltimore,67,95,4.46,8,3,31,46,1450.2,1491,773,719,208,54,549,967
2002,Boston,93,69,3.75,5,17,51,68,1446.0,1339,665,603,146,84,430,1157
2002,Chicago,81,81,4.53,7,7,35,46,1423.0,1422,798,716,190,60,528,945
2002,Cleveland,74,88,4.91,9,4,34,53,1424.2,1508,837,777,142,57,603,1058
2002,Detroit,55,106,4.92,11,7,33,53,1414.0,1593,864,773,163,62,463,794
2002,Kansas City,62,100,5.21,12,6,30,54,1441.0,1587,891,834,212,52,572,909
2002,Minnesota,94,67,4.12,8,9,47,65,1444.2,1454,712,662,184,45,439,1026
2002,New York,103,58,3.87,9,11,53,69,1452.0,1441,697,625,144,48,403,1135
2002,Oakland,103,59,3.68,9,19,48,68,1452.0,1391,654,593,135,62,474,1021
2002,Seattle,93,69,4.07,8,12,43,64,1445.1,1422,699,654,178,49,441,1063
2002,Tampa Bay,55,106,5.29,12,3,25,46,1440.1,1567,918,846,215,94,620,925
2002,Texas,72,90,5.15,4,4,33,65,1439.2,1528,882,824,194,76,669,1030
2002,Toronto,78,84,4.80,6,6,41,70,1438.1,1504,828,767,177,71,590,991
2002,2002 American League Pitching Statistics League Leaderboard,2002 American League Pitching Statistics League Leaderboard,2002 American League Pitching Statistics League Leaderboard,2002 American League Pitching Statistics League Leaderboard,2002 American League Pitching Statistics League Leaderboard,2002 American League Pitching Statistics League Leaderboard,2002 American League Pitching Statistics League Leaderboard,2002 American League Pitching Statistics League Leaderboard,2002 American League Pitching Statistics League Leaderboard,2002 American League Pitching Statistics League Leaderboard,2002 American League Pitching Statistics League Leaderboard,2002 American League Pitching Statistics League Leaderboard,2002 American League Pitching Statistics League Leaderboard,2002 American League Pitching Statistics League Leaderboard,2002 American League Pitching Statistics League Leaderboard,2002 American League Pitching Statistics League Leaderboard
2002,"Seasonal Events: All-Star Game | All-Star Game | All-Star Game | World Series Navigation: Year in Review Menu | Previous Season | Next Season Miscellaneous: N.L. Leaderboard Retirements | Rookies List Average Salary: $2,383,235.00 Minimum Salary: $200,000.00","Seasonal Events: All-Star Game | All-Star Game | All-Star Game | World Series Navigation: Year in Review Menu | Previous Season | Next Season Miscellaneous: N.L. Leaderboard Retirements | Rookies List Average Salary: $2,383,235.00 Minimum Salary: $200,000.00","Seasonal Events: All-Star Game | All-Star Game | All-Star Game | World Series Navigation: Year in Review Menu | Previous Season | Next Season Miscellaneous: N.L. Leaderboard Retirements | Rookies List Average Salary: $2,383,235.00 Minimum Salary: $200,000.00","Seasonal Events: All-Star Game | All-Star Game | All-Star Game | World Series Navigation: Year in Review Menu | Previous Season | Next Season Miscellaneous: N.L. Leaderboard Retirements | Rookies List Average Salary: $2,383,235.00 Minimum Salary: $200,000.00","Seasonal Events: All-Star Game | All-Star Game | All-Star Game | World Series Navigation: Year in Review Menu | Previous Season | Next Season Miscellaneous: N.L. Leaderboard Retirements | Rookies List Average Salary: $2,383,235.00 Minimum Salary: $200,000.00","Seasonal Events: All-Star Game | All-Star Game | All-Star Game | World Series Navigation: Year in Review Menu | Previous Season | Next Season Miscellaneous: N.L. Leaderboard Retirements | Rookies List Average Salary: $2,383,235.00 Minimum Salary: $200,000.00","Seasonal Events: All-Star Game | All-Star Game | All-Star Game | World Series Navigation: Year in Review Menu | Previous Season | Next Season Miscellaneous: N.L. Leaderboard Retirements | Rookies List Average Salary: $2,383,235.00 Minimum Salary: $200,000.00","Seasonal Events: All-Star Game | All-Star Game | All-Star Game | World Series Navigation: Year in Review Menu | Previous Season | Next Season Miscellaneous: N.L. Leaderboard Retirements | Rookies List Average Salary: $2,383,235.00 Minimum Salary: $200,000.00","Seasonal Events: All-Star Game | All-Star Game | All-Star Game | World Series Navigation: Year in Review Menu | Previous Season | Next Season Miscellaneous: N.L. Leaderboard Retirements | Rookies List Average Salary: $2,383,235.00 Minimum Salary: $200,000.00","Seasonal Events: All-Star Game | All-Star Game | All-Star Game | World Series Navigation: Year in Review Menu | Previous Season | Next Season Miscellaneous: N.L. Leaderboard Retirements | Rookies List Average Salary: $2,383,235.00 Minimum Salary: $200,000.00","Seasonal Events: All-Star Game | All-Star Game | All-Star Game | World Series Navigation: Year in Review Menu | Previous Season | Next Season Miscellaneous: N.L. Leaderboard Retirements | Rookies List Average Salary: $2,383,235.00 Minimum Salary: $200,000.00","Seasonal Events: All-Star Game | All-Star Game | All-Star Game | World Series Navigation: Year in Review Menu | Previous Season | Next Season Miscellaneous: N.L. Leaderboard Retirements | Rookies List Average Salary: $2,383,235.00 Minimum Salary: $200,000.00","Seasonal Events: All-Star Game | All-Star Game | All-Star Game | World Series Navigation: Year in Review Menu | Previous Season | Next Season Miscellaneous: N.L. Leaderboard Retirements | Rookies List Average Salary: $2,383,235.00 Minimum Salary: $200,000.00","Seasonal Events: All-Star Game | All-Star Game | All-Star Game | World Series Navigation: Year in Review Menu | Previous Season | Next Season Miscellaneous: N.L. Leaderboard Retirements | Rookies List Average Salary: $2,383,235.00 Minimum Salary: $200,000.00","Seasonal Events: All-Star Game | All-Star Game | All-Star Game | World Series Navigation: Year in Review Menu | Previous Season | Next Season Miscellaneous: N.L. Leaderboard Retirements | Rookies List Average Salary: $2,383,235.00 Minimum Salary: $200,000.00","Seasonal Events: All-Star Game | All-Star Game | All-Star Game | World Series Navigation: Year in Review Menu | Previous Season | Next Season Miscellaneous: N.L. Leaderboard Retirements | Rookies List Average Salary: $2,383,235.00 Minimum Salary: $200,000.00"
2003,Anaheim,77,85,4.28,162,5,9,39,1431.1,1444,743,680,190,76,486,980
2003,Baltimore,71,91,4.76,163,9,3,41,1449.2,1579,820,767,198,80,526,981
2003,Boston,95,67,4.48,162,5,6,36,1464.2,1503,809,729,153,76,488,1141
2003,Chicago,86,76,4.17,162,12,4,36,1431.0,1364,715,663,162,53,518,1056
2003,Cleveland,68,94,4.21,162,5,7,34,1459.1,1477,778,682,179,64,501,943
2003,Detroit,43,119,5.30,162,3,5,27,1438.2,1616,928,847,195,56,557,764
2003,Kansas City,83,79,5.05,162,7,10,36,1438.2,1569,867,808,190,66,566,865
2003,Minnesota,90,72,4.41,162,7,8,45,1462.0,1526,758,716,187,50,402,997
2003,New York,101,61,4.02,163,8,12,49,1462.0,1512,716,653,145,49,375,1119
2003,Oakland,96,66,3.63,162,16,14,48,1441.2,1336,643,582,140,54,499,1018
2003,Seattle,93,69,3.76,162,8,15,38,1441.0,1340,637,602,173,54,466,1001
2003,Tampa Bay,63,99,4.93,162,7,7,30,1436.2,1454,852,787,196,95,639,877
2003,Texas,71,91,5.67,162,4,3,43,1433.1,1625,969,903,208,63,603,1009
2003,Toronto,86,76,4.69,162,14,6,36,1435.0,1560,826,748,184,57,485,984
2003,2003 American League Pitching Statistics League Leaderboard,2003 American League Pitching Statistics League Leaderboard,2003 American League Pitching Statistics League Leaderboard,2003 American League Pitching Statistics League Leaderboard,2003 American League Pitching Statistics League Leaderboard,2003 American League Pitching Statistics League Leaderboard,2003 American League Pitching Statistics League Leaderboard,2003 American League Pitching Statistics League Leaderboard,2003 American League Pitching Statistics League Leaderboard,2003 American League Pitching Statistics League Leaderboard,2003 American League Pitching Statistics League Leaderboard,2003 American League Pitching Statistics League Leaderboard,2003 American League Pitching Statistics League Leaderboard,2003 American League Pitching Statistics League Leaderboard,2003 American League Pitching Statistics League Leaderboard,2003 American League Pitching Statistics League Leaderboard
