Year,0,1,2,3,4,5
1980,West,Kansas City Royals,97,65,.599,0
1980,West,Oakland Athletics,83,79,.512,14
1980,West,Minnesota Twins,77,84,.478,19½
1980,West,Texas Rangers,76,85,.472,20½
1980,West,Chicago White Sox,70,90,.438,26
1980,West,California Angels,65,95,.406,31
1980,West,Seattle Mariners,59,103,.364,38
1980,A.L.,Team [Click for roster],Wins,Losses,WP,GB
1980,American League Team Standings,American League Team Standings,American League Team Standings,American League Team Standings,American League Team Standings,American League Team Standings
1981,East,Milwaukee Brewers,Final,62,47,.569,0
1981,East,Milwaukee Brewers,1st Half,31,25,.554,3
1981,East,Milwaukee Brewers,2nd Half,31,22,.585,0
1981,East,Baltimore Orioles,Final,59,46,.562,1
1981,East,Baltimore Orioles,1st Half,31,23,.574,2
1981,East,Baltimore Orioles,2nd Half,28,23,.549,2
1981,East,New York Yankees,Final,59,48,.551,2
1981,East,New York Yankees,1st Half,34,22,.607,0
1981,East,New York Yankees,2nd Half,25,26,.490,5
1981,East,Detroit Tigers,Final,60,49,.550,2
1981,East,Detroit Tigers,1st Half,31,26,.544,3½
1981,East,Detroit Tigers,2nd Half,29,23,.558,1?
1981,East,Boston Red Sox,Final,59,49,.546,2½
1981,East,Boston Red Sox,1st Half,30,26,.536,4
1981,East,Boston Red Sox,2nd Half,29,23,.558,1½
1981,East,Cleveland Indians,Final,52,51,.505,7
1981,East,Cleveland Indians,1st Half,26,24,.520,5
1981,East,Cleveland Indians,2nd Half,26,27,.491,5
1981,East,Toronto Blue Jays,Final,37,69,.349,23½
1981,East,Toronto Blue Jays,1st Half,16,42,.276,19
1981,East,Toronto Blue Jays,2nd Half,21,27,.438,7½
1981,West,Team [Click for roster],Strike Splits,Wins,Losses,WP,GB
1981,West,Oakland Athletics,Final,64,45,.587,0
1981,West,Oakland Athletics,1st Half,37,23,.617,0
1981,West,Oakland Athletics,2nd Half,27,22,.551,1
1981,West,Texas Rangers,Final,57,48,.543,5
1981,West,Texas Rangers,1st Half,33,22,.600,1½
1981,West,Texas Rangers,2nd Half,24,26,.480,4½
1981,West,Chicago White Sox,Final,54,52,.509,8½
1981,West,Chicago White Sox,1st Half,31,22,.585,2½
1981,West,Chicago White Sox,2nd Half,23,30,.434,7
1981,West,Kansas City Royals,Final,50,53,.485,11
1981,West,Kansas City Royals,1st Half,20,30,.400,12
1981,West,Kansas City Royals,2nd Half,30,23,.566,0
1981,West,California Angels,Final,51,59,.464,13½
1981,West,California Angels,1st Half,31,29,.517,6
1981,West,California Angels,2nd Half,20,30,.400,8½
1981,West,Seattle Mariners,Final,44,65,.404,20
1981,West,Seattle Mariners,1st Half,21,36,.368,14½
1981,West,Seattle Mariners,2nd Half,23,29,.442,6?
1981,West,Minnesota Twins,Final,41,68,.376,23
1981,West,Minnesota Twins,1st Half,17,39,.304,18
1981,West,Minnesota Twins,2nd Half,24,29,.453,6
1981,A.L.,Team [Click for roster],Strike Splits,Wins,Losses,WP,GB
1981,American League Team Standings,American League Team Standings,American League Team Standings,American League Team Standings,American League Team Standings,American League Team Standings,American League Team Standings
1982,East,Milwaukee Brewers,95,67,.586,0
1982,East,Baltimore Orioles,94,68,.580,1
1982,East,Boston Red Sox,89,73,.549,6
1982,East,Detroit Tigers,83,79,.512,12
1982,East,New York Yankees,79,83,.488,16
1982,East,Toronto Blue Jays,78,84,.481,17
1982,East,Cleveland Indians,78,84,.481,17
1982,West,Team [Click for roster],Wins,Losses,WP,GB
1982,West,California Angels,93,69,.574,0
1982,West,Kansas City Royals,90,72,.556,3
1982,West,Chicago White Sox,87,75,.537,6
1982,West,Seattle Mariners,76,86,.469,17
1982,West,Oakland Athletics,68,94,.420,25
1982,West,Texas Rangers,64,98,.395,29
1982,West,Minnesota Twins,60,102,.370,33
1982,A.L.,Team [Click for roster],Wins,Losses,WP,GB
1982,American League Team Standings,American League Team Standings,American League Team Standings,American League Team Standings,American League Team Standings,American League Team Standings
1983,East,Baltimore Orioles,98,64,.605,0
1983,East,Detroit Tigers,92,70,.568,6
1983,East,New York Yankees,91,71,.562,7
1983,East,Toronto Blue Jays,89,73,.549,9
1983,East,Milwaukee Brewers,87,75,.537,11
1983,East,Boston Red Sox,78,84,.481,20
1983,East,Cleveland Indians,70,92,.432,28
1983,West,Team | Roster,Wins,Losses,WP,GB
1983,West,Chicago White Sox,99,63,.611,0
1983,West,Kansas City Royals,79,83,.488,20
1983,West,Texas Rangers,77,85,.475,22
1983,West,Oakland Athletics,74,88,.457,25
1983,West,California Angels,70,92,.432,29
1983,West,Minnesota Twins,70,92,.432,29
1983,West,Seattle Mariners,60,102,.370,39
1983,A.L.,Team | Roster,Wins,Losses,WP,GB
1983,American League Team Standings,American League Team Standings,American League Team Standings,American League Team Standings,American League Team Standings,American League Team Standings
1984,East,Detroit Tigers,104,58,.642,0
1984,East,Toronto Blue Jays,89,73,.549,15
1984,East,New York Yankees,87,75,.537,17
1984,East,Boston Red Sox,86,76,.531,18
1984,East,Baltimore Orioles,85,77,.525,19
1984,East,Cleveland Indians,75,87,.463,29
1984,East,Milwaukee Brewers,67,94,.416,36½
1984,West,Team | Roster,W,L,WP,GB
1984,West,Kansas City Royals,84,78,.519,0
1984,West,California Angels,81,81,.500,3
1984,West,Minnesota Twins,81,81,.500,3
1984,West,Oakland Athletics,77,85,.475,7
1984,West,Seattle Mariners,74,88,.757,10
1984,West,Chicago White Sox,74,88,.457,10
1984,West,Texas Rangers,69,92,.429,14½
1984,A.L.,Team | Roster,W,L,WP,GB
1984,American League Team Standings,American League Team Standings,American League Team Standings,American League Team Standings,American League Team Standings,American League Team Standings
1985,East,Toronto Blue Jays,99,62,.615,0,"$11,800,281"
1985,East,New York Yankees,97,64,.602,2,"$15,398,047"
1985,East,Detroit Tigers,84,77,.522,15,"$10,850,643"
1985,East,Baltimore Orioles,83,78,.516,16,"$12,371,429"
1985,East,Boston Red Sox,81,81,.500,18½,"$11,080,695"
1985,East,Milwaukee Brewers,71,90,.441,28,"$12,216,965"
1985,East,Cleveland Indians,60,102,.370,39½,"$6,623,133"
1985,West,Team | Roster,W,L,WP,GB,Payroll
1985,West,Kansas City Royals,91,71,.562,0,"$11,754,512"
1985,West,California Angels,90,72,.556,1,"$11,559,593"
1985,West,Chicago White Sox,85,77,.525,6,"$9,849,689"
1985,West,Minnesota Twins,77,85,.475,14,"$7,238,667"
1985,West,Oakland Athletics,77,85,.475,14,"$10,008,823"
1985,West,Seattle Mariners,74,88,.457,17,"$5,549,870"
1985,West,Texas Rangers,62,99,.385,28½,"$8,101,222"
1985,A.L.,Team | Roster,W,L,WP,GB,Payroll
1985,American League Team Standings,American League Team Standings,American League Team Standings,American League Team Standings,American League Team Standings,American League Team Standings,American League Team Standings
1986,East,Boston Red Sox,95,66,.590,0,"$16,003,236"
1986,East,New York Yankees,90,72,.556,5½,"$17,248,360"
1986,East,Detroit Tigers,87,75,.537,8½,"$12,254,047"
1986,East,Toronto Blue Jays,86,76,.531,9½,"$12,447,880"
1986,East,Cleveland Indians,84,78,.519,11½,"$8,047,000"
1986,East,Milwaukee Brewers,77,84,.478,18,"$8,429,321"
1986,East,Baltimore Orioles,73,89,.451,22½,"$12,196,745"
1986,West,Team [Click for roster],Wins,Losses,WP,GB,Payroll
1986,West,California Angels,92,70,.568,0,"$14,254,758"
1986,West,Texas Rangers,87,75,.537,5,"$6,892,218"
1986,West,Kansas City Royals,76,86,.469,16,"$13,996,417"
1986,West,Oakland Athletics,76,86,.469,16,"$9,933,388"
1986,West,Chicago White Sox,72,90,.444,20,"$10,099,510"
1986,West,Minnesota Twins,71,91,.438,21,"$9,815,200"
1986,West,Seattle Mariners,67,95,.414,25,"$6,382,309"
1986,American League Team Standings,American League Team Standings,American League Team Standings,American League Team Standings,American League Team Standings,American League Team Standings,American League Team Standings
1987,East,Detroit Tigers,98,64,.605,0,"$12,557,881"
1987,East,Toronto Blue Jays,96,66,.593,2,"$13,194,734"
1987,East,Milwaukee Brewers,91,71,.562,7,"$7,687,724"
1987,East,New York Yankees,89,73,.549,9,"$18,569,714"
1987,East,Boston Red Sox,78,84,.481,20,"$13,211,873"
1987,East,Baltimore Orioles,67,95,.414,31,"$13,434,895"
1987,East,Cleveland Indians,61,101,.377,37,"$7,955,250"
1987,West,Team [Click for roster],Wins,Losses,WP,GB,Payroll
1987,West,Minnesota Twins,85,77,.525,0,"$13,271,956"
1987,West,Kansas City Royals,83,79,.512,2,"$13,188,384"
1987,West,Oakland Athletics,81,81,.500,4,"$12,292,250"
1987,West,Seattle Mariners,78,84,.481,7,"$5,624,500"
1987,West,Chicago White Sox,77,85,.475,8,"$8,987,415"
1987,West,Texas Rangers,75,87,.463,10,"$6,342,718"
1987,West,California Angels,75,87,.463,10,"$12,985,489"
1987,American League Team Standings,American League Team Standings,American League Team Standings,American League Team Standings,American League Team Standings,American League Team Standings,American League Team Standings
1988,East,Boston Red Sox,89,73,.549,0,"$15,629,592"
1988,East,Detroit Tigers,88,74,.543,1,"$15,597,071"
1988,East,Toronto Blue Jays,87,75,.537,2,"$14,098,725"
1988,East,Milwaukee Brewers,87,75,.537,2,"$10,864,000"
1988,East,New York Yankees,85,76,.528,3½,"$21,524,152"
1988,East,Cleveland Indians,78,84,.481,11,"$10,244,500"
1988,East,Baltimore Orioles,54,107,.335,34½,"$11,370,404"
1988,West,Team [Click for roster],Wins,Losses,WP,GB,Payroll
1988,West,Oakland Athletics,104,58,.642,0,"$11,628,083"
1988,West,Minnesota Twins,91,71,.562,13,"$13,444,800"
1988,West,Kansas City Royals,84,77,.522,19½,"$14,058,873"
1988,West,California Angels,75,87,.463,29,"$12,382,388"
1988,West,Chicago White Sox,71,90,.441,32½,"$7,736,952"
1988,West,Texas Rangers,70,91,.435,33½,"$7,105,500"
1988,West,Seattle Mariners,68,93,.422,35½,"$6,545,950"
1988,American League Team Standings,American League Team Standings,American League Team Standings,American League Team Standings,American League Team Standings,American League Team Standings,American League Team Standings
1989,East,Toronto Blue Jays,89,73,.549,0,"$16,016,666"
1989,East,Baltimore Orioles,87,75,.537,2,"$10,944,499"
1989,East,Boston Red Sox,83,79,.512,6,"$19,064,885"
1989,East,Milwaukee Brewers,81,81,.500,8,"$11,901,500"
1989,East,New York Yankees,74,87,.460,14½,"$18,482,251"
1989,East,Cleveland Indians,73,89,.451,16,"$10,349,500"
1989,East,Detroit Tigers,59,103,.364,30,"$14,147,763"
1989,West,Team [Click for roster],Wins,Losses,WP,GB,Payroll
1989,West,Oakland Athletics,99,63,.611,0,"$17,772,999"
1989,West,Kansas City Royals,92,70,.568,7,"$17,101,047"
1989,West,California Angels,91,71,.562,8,"$15,362,333"
1989,West,Texas Rangers,83,79,.512,16,"$10,831,781"
1989,West,Minnesota Twins,80,82,.494,19,"$14,303,000"
1989,West,Seattle Mariners,73,89,.451,26,"$8,702,500"
1989,West,Chicago White Sox,69,92,.429,29½,"$8,981,094"
1989,American League Team Standings,American League Team Standings,American League Team Standings,American League Team Standings,American League Team Standings,American League Team Standings,American League Team Standings
1990,East,Boston Red Sox,88,74,.543,0,"$21,843,333"
1990,East,Toronto Blue Jays,86,76,.531,2,"$16,231,854"
1990,East,Detroit Tigers,79,83,.488,9,"$18,248,738"
1990,East,Cleveland Indians,77,85,.475,11,"$13,820,000"
1990,East,Baltimore Orioles,76,85,.472,11½,"$7,985,584"
1990,East,Milwaukee Brewers,74,88,.457,14,"$18,196,667"
1990,East,New York Yankees,67,95,.414,21,"$19,339,816"
1990,West,Team [Click for roster],Wins,Losses,WP,GB,Payroll
1990,West,Oakland Athletics,103,59,.636,0,"$21,785,040"
1990,West,Chicago White Sox,94,68,.580,9,"$9,843,529"
1990,West,Texas Rangers,83,79,.512,20,"$12,617,333"
1990,West,California Angels,80,82,.494,23,"$21,391,152"
1990,West,Seattle Mariners,77,85,.475,26,"$11,918,167"
1990,West,Kansas City Royals,75,86,.466,27½,"$23,197,845"
1990,West,Minnesota Twins,74,88,.457,29,"$13,528,000"
1990,American League Team Standings,American League Team Standings,American League Team Standings,American League Team Standings,American League Team Standings,American League Team Standings,American League Team Standings
1991,East,Toronto Blue Jays,91,71,.562,0,"$31,016,809"
1991,East,Detroit Tigers,84,78,.519,7,"$24,169,179"
1991,East,Boston Red Sox,84,78,.519,7,"$35,501,537"
1991,East,Milwaukee Brewers,83,79,.512,8,"$23,771,616"
1991,East,New York Yankees,71,91,.438,20,"$31,390,000"
1991,East,Baltimore Orioles,67,95,.414,24,"$14,396,669"
1991,East,Cleveland Indians,57,105,.352,34,"$13,133,428"
1991,West,Team | Roster,W,L,WP,GB,Payroll
1991,West,Minnesota Twins,95,67,.586,0,"$22,514,814"
1991,West,Chicago White Sox,87,75,.537,8,"$16,694,979"
1991,West,Texas Rangers,85,77,.525,10,"$22,525,314"
1991,West,Oakland Athletics,84,78,.519,11,"$39,906,167"
1991,West,Seattle Mariners,83,79,.512,12,"$16,431,833"
1991,West,Kansas City Royals,82,80,.506,13,"$31,117,661"
1991,West,California Angels,81,81,.500,14,"$31,996,561"
1991,A.L.,Team | Roster,W,L,WP,GB,Payroll
1991,1991 American League Team Standings,1991 American League Team Standings,1991 American League Team Standings,1991 American League Team Standings,1991 American League Team Standings,1991 American League Team Standings,1991 American League Team Standings
1992,East,Toronto Blue Jays,96,66,.593,0,"$48,991,840"
1992,East,Milwaukee Brewers,92,70,.568,4,"$29,849,670"
1992,East,Baltimore Orioles,89,73,.549,7,"$23,023,330"
1992,East,New York Yankees,76,86,.469,20,"$34,789,500"
1992,East,Cleveland indians,76,86,.469,20,"$8,399,711"
1992,East,Detroit Tigers,75,87,.463,21,"$29,479,830"
1992,East,Boston Red Sox,73,89,.451,23,"$41,887,250"
1992,West,Team [Click for roster],Wins,Losses,WP,GB,Payroll
1992,West,Oakland Athletics,96,66,.593,0,"$47,372,810"
1992,West,Minnesota Twins,90,72,.556,6,"$26,222,830"
1992,West,Chicago White Sox,86,76,.531,10,"$29,524,500"
1992,West,Texas Rangers,77,85,.475,19,"$25,323,000"
1992,West,Kansas City Royals,72,90,.444,24,"$30,248,830"
1992,West,California Angels,72,90,.444,24,"$26,343,670"
1992,West,Seattle Mariners,64,98,.395,32,"$23,831,330"
1992,American League Team Standings,American League Team Standings,American League Team Standings,American League Team Standings,American League Team Standings,American League Team Standings,American League Team Standings
1993,East,Toronto Blue Jays,95,67,.586,0,"$51,935,034"
1993,East,New York Yankees,88,74,.543,7,"$46,588,791"
1993,East,Baltimore Orioles,85,77,.525,10,"$29,253,066"
1993,East,Detroit Tigers,85,77,.525,10,"$38,038,498"
1993,East,Boston Red Sox,80,82,.494,15,"$46,164,788"
1993,East,Cleveland Indians,76,86,.469,19,"$16,690,997"
1993,East,Milwaukee Brewers,69,93,.426,26,"$25,635,387"
1993,West,Team [Click for roster],Wins,Losses,WP,GB,Payroll
1993,West,Chicago White Sox,94,68,.580,0,"$42,115,723"
1993,West,Texas Rangers,86,76,.531,8,"$39,959690"
1993,West,Kansas City Royals,84,78,.519,10,"$40,164,878"
1993,West,Seattle Mariners,82,80,.506,12,"$33,311,042"
1993,West,California Angels,71,91,.438,23,"$27,444,899"
1993,West,Minnesota Twins,71,91,.438,23,"$27,127,768"
1993,West,Oakland Athletics,68,94,.420,26,"$35,351,334"
1993,American League Team Standings,American League Team Standings,American League Team Standings,American League Team Standings,American League Team Standings,American League Team Standings,American League Team Standings
1994,East,New York Yankees,70,43,.619,0,"$47,512,342"
1994,East,Baltimore Orioles,63,49,.563,6½,"$38,711,487"
1994,East,Toronto Blue Jays,55,60,.478,16,"$42,265,168"
1994,East,Boston Red Sox,54,61,.470,17,"$36,337,937"
1994,East,Detroit Tigers,53,62,.461,18,"$41,118,509"
1994,Central,Team [Click for roster],Wins,Losses,WP,GB,Payroll
1994,Central,Chicago White Sox,67,46,.593,0,"$40,144,836"
1994,Central,Cleveland Indians,66,47,.584,1,"$31,705,667"
1994,Central,Kansas City Royals,64,51,.557,4,"$40,667,375"
1994,Central,Minnesota Twins,53,60,.469,14,"$25,053,237"
1994,Central,Milwaukee Brewers,53,62,.461,15,"$24,786,857"
1994,West,Team [Click for roster],Wins,Losses,WP,GB,Payroll
1994,West,Texas Rangers,52,62,.456,0,"$32,399,097"
1994,West,Oakland Athletics,51,63,.447,1,"$34,574,000"
1994,West,Seattle Mariners,49,63,.438,2,"$28,463,110"
1994,West,California Angels,47,68,.409,5½,"$24,528,385"
1994,American League Team Standings,American League Team Standings,American League Team Standings,American League Team Standings,American League Team Standings,American League Team Standings,American League Team Standings
1995,East,Boston Red Sox,86,58,.597,0,"$38,157,750"
1995,East,New York Yankees,79,65,.549,7,"$58,165,252"
1995,East,Baltimore Orioles,71,73,.493,15,"$48,739,636"
1995,East,Detroit Tigers,60,84,.417,26,"$28,663,667"
1995,East,Toronto Blue Jays,56,88,.389,30,"$42,233,500"
1995,Central,Team [Click for roster],Wins,Losses,WP,GB,Payroll
1995,Central,Cleveland Indians,100,44,.694,0,"$40,180,750"
1995,Central,Kansas City Royals,70,74,.486,30,"$31,181,334"
1995,Central,Chicago White Sox,68,76,.472,32,"$40,750,782"
1995,Central,Milwaukee Brewers,65,79,.451,35,"$17,407,385"
1995,Central,Minnesota Twins,56,88,.389,44,"$15,362,750"
1995,West,Team [Click for roster],Wins,Losses,WP,GB,Payroll
1995,West,Seattle Mariners,79,66,.545,0,"$37,984,610"
1995,West,California Angels,78,67,.538,1,"$34,702,577"
1995,West,Texas Rangers,74,70,.514,4½,"$35,888,725"
1995,West,Oakland Athletics,67,77,.465,11½,"$33,372,722"
1995,American League Team Standings,American League Team Standings,American League Team Standings,American League Team Standings,American League Team Standings,American League Team Standings,American League Team Standings
1996,East,New York Yankees,92,70,.568,0,"$61,511,870"
1996,East,Baltimore Orioles,88,74,.543,4,"$55,127,855"
1996,East,Boston Red Sox,85,77,.525,7,"$38,516,402"
1996,East,Toronto Blue Jays,74,88,.457,18,"$28,778,577"
1996,East,Detroit Tigers,53,109,.327,39,"$17,955,500"
1996,Central,Team [Click for roster],Wins,Losses,WP,GB,Payroll
1996,Central,Cleveland Indians,99,62,.615,0,"$47,686,907"
1996,Central,Chicago White Sox,85,77,.525,14½,"$44,827,833"
1996,Central,Milwaukee Brewers,80,82,.494,19½,"$11,701,000"
1996,Central,Minnesota Twins,78,84,.484,21½,"$21,254,000"
1996,Central,Kansas City Royals,75,86,.466,24,"$19,980,250"
1996,West,Team [Click for roster],Wins,Losses,WP,GB,Payroll
1996,West,Texas Rangers,90,72,.556,0,"$41,080,028"
1996,West,Seattle Mariners,85,76,.528,4½,"$43,131,001"
1996,West,Oakland Athletics,78,84,.481,12,"$22,524,093"
1996,West,California Angels,70,91,.435,19½,"$25,140,142"
1996,American League Team Standings,American League Team Standings,American League Team Standings,American League Team Standings,American League Team Standings,American League Team Standings,American League Team Standings
1997,East,Baltimore Orioles,98,64,.605,0,"$64,611,399"
1997,East,New York Yankees,96,66,.593,2,"$73,389,577"
1997,East,Detroit Tigers,79,83,.488,19,"$20,985,500"
1997,East,Boston Red Sox,78,84,.481,20,"$40,611,351"
1997,East,Toronto Blue Jays,76,86,.469,22,"$48,964,833"
1997,Central,Team | Roster,Wins,Losses,WP,GB,Payroll
1997,Central,Cleveland Indians,86,75,.534,0,"$58,865,056"
1997,Central,Chicago White Sox,80,81,.497,6,"$41,849,500"
1997,Central,Milwaukee Brewers,78,83,.484,8,"$26,564,840"
1997,Central,Minnesota Twins,68,94,.420,18½,"$32,197,500"
1997,Central,Kansas City Royals,67,94,.416,19,"$33,868,149"
1997,West,Team | Roster,Wins,Losses,WP,GB,Payroll
1997,West,Seattle Mariners,90,72,.556,0,"$46,298,970"
1997,West,Anaheim Angels,84,78,.519,6,"$46,684,364"
1997,West,Texas Rangers,77,85,.475,13,"$44,591,013"
1997,West,Oakland Athletics,65,97,.401,25,"$12,879,889"
1997,American League Team Standings,American League Team Standings,American League Team Standings,American League Team Standings,American League Team Standings,American League Team Standings,American League Team Standings
1998,East,New York Yankees,114,48,.704,0,"$73,963,698"
1998,East,Boston Red Sox,92,70,.568,22,"$59,547,000"
1998,East,Toronto Blue Jays,88,74,.543,26,"$37,618,500"
1998,East,Baltimore Orioles,79,83,.488,35,"$74,170,921"
1998,East,Tampa Bay Devil Rays,63,99,.389,51,"$27,645,000"
1998,Central,Team [Click for roster],Wins,Losses,WP,GB,Payroll
1998,Central,Cleveland Indians,89,73,.549,0,"$56,843,441"
1998,Central,Chicago White Sox,80,82,.494,9,"$37,880,000"
1998,Central,Kansas City Royals,72,89,.447,16½,"$35,610,000"
1998,Central,Minnesota Twins,70,92,.432,19,"$22,027,500"
1998,Central,Detroit Tigers,65,97,.401,24,"$23,318,980"
1998,West,Team [Click for roster],Wins,Losses,WP,GB,Payroll
1998,West,Texas Rangers,88,74,.543,0,"$62,755,368"
1998,West,Anaheim Angels,85,77,.525,3,"$54,189,000"
1998,West,Seattle Mariners,76,85,.472,11½,"$44,860,014"
1998,West,Oakland Athletics,74,88,.457,14,"$18,585,114"
1998,American League Team Standings,American League Team Standings,American League Team Standings,American League Team Standings,American League Team Standings,American League Team Standings,American League Team Standings
1999,East,New York Yankees,98,64,.605,0,"$91,990,955"
1999,East,Boston Red Sox,94,68,.580,4,"$72,330,656"
1999,East,Toronto Blue Jays,84,78,.519,14,"$48,847,300"
1999,East,Baltimore Orioles,78,84,.481,20,"$75,443,363"
1999,East,Tampa Bay Devil Rays,69,93,.426,29,"$37,860,451"
1999,Central,Team [Click for roster],Wins,Losses,WP,GB,Payroll
1999,Central,Cleveland Indians,97,65,.599,0,"$73,531,692"
1999,Central,Chicago White Sox,75,86,.466,21½,"$24,535,000"
1999,Central,Detroit Tigers,69,92,.429,27½,"$36,954,666"
1999,Central,Kansas City Royals,64,97,.398,32½,"$16,557,000"
1999,Central,Minnesota Twins,63,97,.394,33,"$15,845,000"
1999,West,Team [Click for roster],Wins,Losses,WP,GB,Payroll
1999,West,Texas Rangers,95,67,.586,0,"$80,801,598"
1999,West,Oakland Athletics,87,75,.537,8,"$25,208,858"
1999,West,Seattle Mariners,79,83,.488,16,"$45,351,254"
1999,West,Anaheim Angels,70,92,.432,25,"$51,340,257"
1999,American League Team Standings,American League Team Standings,American League Team Standings,,,,
2000,East,New York Yankees,87,74,.540,0,"$92,538,260"
2000,East,Boston Red Sox,85,77,.525,2½,"$77,940,333"
2000,East,Toronto Blue Jays,83,79,.512,4½,"$46,238,333"
2000,East,Baltimore Orioles,74,88,.457,13½,"$81,447,435"
2000,East,Tampa Bay Devil Rays,69,92,.429,18,"$62,765,129"
2000,Central,Team [Click for roster],Wins,Losses,WP,GB,Payroll
2000,Central,Chicago White Sox,95,67,.586,0,"$31,133,500"
2000,Central,Cleveland Indians,90,72,.556,5,"$75,880,971"
2000,Central,Detroit Tigers,79,83,.488,16,"$58,265,167"
2000,Central,Kansas City Royals,77,85,.475,18,"$23,433,000"
2000,Central,Minnesota Twins,69,93,.426,26,"$16,519,500"
2000,West,Team [Click for roster],Wins,Losses,WP,GB,Payroll
2000,West,Oakland Athletics,91,70,.565,0,"$31,971,333"
2000,West,Seattle Mariners,91,71,.562,½,"$58,915,000"
